6,33
6,16
5,20
2,16
24,26
11,12
2,22
31,33
10,27
7,8
2,8
6,7
8,32
22,30
27,29
18,20
7,16
11,13
5,18
30,32
12,28
8,22
22,32
4,9
13,17
18,29
7,17
3,10
1,35
12,29
9,31
19,22
13,14
3,5
21,22
7,8
20,26
14,18
17,33
12,14
8,9
5,10
4,26
14,29
25,27
6,22
14,18
19,21
3,5
7,17
6,22
21,22
19,22
1,35
25,27
23,31
11,30
11,28
9,23
3,10
6,21
5,10
32,34
8,9
15,16
14,29
2,17
18,29
20,26
4,20
6,19
31,33
20,26
17,33
1,35
4,26
19,22
8,9
14,18
9,31
6,19
7,36
11,28
4,20
9,23
14,29
6,21
28,30
19,21
31,33
3,10
2,9
2,17
21,22
12,29
25,27
3,10
19,22
32,34
1,35
31,33
23,31
12,13
6,22
2,9
13,29
6,19
12,14
18,29
7,17
7,9
23,33
7,23
6,21
11,28
20,26
12,14
8,34
9,33
23,33
18,29
12,13
4,26
6,19
6,21
14,18
3,10
28,30
14,29
21,22
7,36
2,17
15,16
5,10
17,23
31,33
1,35
2,23
17,33
7,23
9,31
21,22
7,17
9,23
20,26
6,22
13,29
23,33
6,19
8,34
11,30
7,9
2,23
31,33
2,17
5,10
4,20
18,29
15,16
13,29
25,27
8,34
17,23
20,26
11,30
19,21
9,23
18,29
5,10
7,23
18,37
19,22
6,21
12,14
1,35
4,20
21,22
13,14
9,17
7,8
13,29
8,32
5,10
12,29
2,23
9,17
21,22
6,19
4,20
13,14
9,23
27,38
34,36
9,31
19,21
11,28
12,14
31,33
18,29
7,8
23,31
8,32
13,29
12,14
7,8
4,26
9,31
6,22
25,27
12,29
9,23
28,30
8,34
14,29
7,17
12,13
9,17
7,23
5,10
18,29
21,22
6,21
6,19
32,34
23,33
12,14
9,17
17,23
5,10
13,29
14,29
2,17
3,10
12,13
9,23
13,14
11,28
21,22
31,33
19,21
7,17
18,37
8,32
7,8
5,10
6,19
31,33
34,36
4,26
18,29
21,22
25,38
11,28
12,14
4,20
6,21
8,32
8,34
13,29
3,10
20,26
9,23
7,17
12,13
14,18
32,36
15,16
6,22
2,9
7,8
5,10
18,37
19,24
3,10
25,38
6,19
7,9
9,33
27,38
3,5
23,33
4,26
9,31
7,23
4,20
14,18
2,31
17,23
7,17
13,14
31,33
2,17
14,29
6,19
25,35
2,17
11,28
3,10
12,29
7,17
19,24
13,29
5,10
4,26
2,23
19,21
17,23
14,29
25,38
3,5
28,30
9,33
34,37
31,35
19,25
6,21
3,9
11,12
30,32
24,37
11,28
6,20
5,9
8,31
6,38
1,34
7,22
27,29
26,37
20,21
14,15
21,38
18,38
7,8
24,26
3,5
16,22
12,28
4,19
26,37
3,9
17,36
33,35
6,21
11,28
10,27
10,35
20,38
30,32
27,29
28,36
23,38
6,20
18,20
1,34
7,16
4,25
14,15
19,25
31,35
13,37
19,21
9,15
3,10
17,23
19,24
4,26
26,41
19,22
2,31
7,8
12,14
27,38
4,41
15,16
34,40
11,36
25,38
31,33
13,34
30,38
35,41
29,31
20,40
3,42
26,39
32,34
5,42
7,20
7,40
16,17
24,28
12,37
4,6
13,30
14,38
37,41
25,40
18,24
3,21
21,42
13,15
1,39
24,28
15,30
14,30
12,37
5,27
33,41
10,17
5,42
18,24
13,15
16,17
20,23
1,39
14,15
33,35
8,18
14,19
7,22
7,20
5,21
33,37
35,41
2,24
6,11
16,17
1,39
12,41
32,34
21,38
2,32
29,31
30,38
20,25
26,36
13,30
19,21
14,30
12,29
18,24
14,38
19,30
5,42
27,42
7,22
14,19
15,30
9,33
3,5
21,42
28,39
5,21
13,14
1,36
35,41
1,39
33,37
25,40
5,27
5,42
7,23
19,21
8,24
29,31
12,41
24,28
27,42
21,38
4,11
4,6
9,35
16,17
28,39
33,41
14,19
20,23
26,44
15,30
14,38
10,17
37,41
8,18
24,28
5,42
5,21
29,31
20,22
26,36
10,38
9,35
15,38
12,37
20,25
12,29
30,38
39,44
7,20
7,23
12,41
13,19
2,32
20,25
10,21
10,17
1,39
8,18
26,39
28,44
9,35
14,38
21,42
1,36
3,42
37,41
19,38
10,38
10,19
5,21
30,38
15,38
14,19
29,31
15,30
32,34
29,31
18,33
6,11
42,45
36,44
7,22
20,40
7,23
32,34
26,36
13,15
16,17
37,41
39,44
1,36
30,38
2,32
3,5
1,39
26,39
39,44
20,25
7,22
16,17
7,20
42,45
36,44
2,32
33,37
1,36
6,11
13,30
8,24
5,45
15,38
15,30
